Foundation URI,Linearization (release) URI,Code,BlockId,Title,ClassKind,DepthInKind,IsResidual,PrimaryLocation,ChapterNo,BrowserLink,iCatLink,isLeaf,noOfNonResidualChildren,Primary tabulation,Grouping1,Grouping2,Grouping3,Grouping4,Grouping5,Version:2025 Sep 03 - 22:30 UTC
http://id.who.int/icd/entity/1435254666,http://id.who.int/icd/release/11/beta/mms/1435254666,,,Certain infectious or parasitic diseases,chapter,1,False,True,01,browser,iCat,False,22,,,,,,,
http://id.who.int/icd/entity/588616678,http://id.who.int/icd/release/11/beta/mms/588616678,,BlockL1-_NO,- Gastroenteritis or colitis of infectious origin,block,1,False,True,01,browser,iCat,False,5,,,,,,,
http://id.who.int/icd/entity/1834648119,http://id.who.int/icd/release/11/beta/mms/1834648119,,BlockL2-_NO,- - Bacterial foodborne intoxications,block,2,False,True,01,browser,iCat,False,5,,BlockL1-_NO,,,,,
http://id.who.int/icd/entity/1486499049,http://id.who.int/icd/release/11/beta/mms/1486499049,_NOCODEASSIGNED,,- - - Foodborne Vibrio vulnificus intoxication,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-_NO,BlockL2-_NO,,,,
http://id.who.int/icd/entity/1642556936,http://id.who.int/icd/release/11/beta/mms/1642556936,1A10,,- - - Foodborne staphylococcal intoxication,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-_NO,BlockL2-_NO,,,,
http://id.who.int/icd/entity/78422942,http://id.who.int/icd/release/11/beta/mms/78422942,1A11,,- - - Botulism,category,1,False,True,01,browser,iCat,False,2,True,BlockL1-_NO,BlockL2-_NO,,,,
http://id.who.int/icd/entity/2033726602,http://id.who.int/icd/release/11/beta/mms/2033726602,1A11.0,,- - - - Foodborne intoxication by botulinum toxin,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-_NO,BlockL2-_NO,,,,
http://id.who.int/icd/entity/1393712712,http://id.who.int/icd/release/11/beta/mms/1393712712,1A11.1,,- - - - Other forms of botulism,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-_NO,BlockL2-_NO,,,,
,http://id.who.int/icd/release/11/beta/mms/78422942/unspecified,1A11.Z,,"- - - - Botulism, unspecified",category,2,True,True,01,browser,iCat,True,0,True,BlockL1-_NO,BlockL2-_NO,,,,
http://id.who.int/icd/entity/1879176035,http://id.who.int/icd/release/11/beta/mms/1879176035,1A12,,- - - Foodborne Clostridium perfringens intoxication,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-_NO,BlockL2-_NO,,,,
http://id.who.int/icd/entity/1722068323,http://id.who.int/icd/release/11/beta/mms/1722068323,1A13,,- - - Foodborne Bacillus cereus intoxication,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-_NO,BlockL2-_NO,,,,
,http://id.who.int/icd/release/11/beta/mms/1834648119/other,1A1Y,,- - - Other specified bacterial foodborne intoxications,category,1,True,True,01,browser,iCat,True,0,True,BlockL1-_NO,BlockL2-_NO,,,,
,http://id.who.int/icd/release/11/beta/mms/1834648119/unspecified,1A1Z,,"- - - Bacterial foodborne intoxications, unspecified",category,1,True,True,01,browser,iCat,True,0,True,BlockL1-_NO,BlockL2-_NO,,,,
http://id.who.int/icd/entity/135352227,http://id.who.int/icd/release/11/beta/mms/135352227,,BlockL2-1A0,- - Bacterial intestinal infections,block,2,False,True,01,browser,iCat,False,10,,BlockL1-_NO,,,,,
http://id.who.int/icd/entity/257068234,http://id.who.int/icd/release/11/beta/mms/257068234,1A00,,- - - Cholera,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-_NO,BlockL2-1A0,,,,
http://id.who.int/icd/entity/416025325,http://id.who.int/icd/release/11/beta/mms/416025325,1A01,,- - - Intestinal infection due to other Vibrio,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-_NO,BlockL2-1A0,,,,
http://id.who.int/icd/entity/2080365623,http://id.who.int/icd/release/11/beta/mms/2080365623,1A02,,- - - Intestinal infections due to Shigella,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-_NO,BlockL2-1A0,,,,
http://id.who.int/icd/entity/344162786,http://id.who.int/icd/release/11/beta/mms/344162786,1A03,,- - - Intestinal infections due to Escherichia coli,category,1,False,True,01,browser,iCat,False,4,True,BlockL1-_NO,BlockL2-1A0,,,,
http://id.who.int/icd/entity/2099226249,http://id.who.int/icd/release/11/beta/mms/2099226249,1A03.0,,- - - - Enteropathogenic Escherichia coli infection,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-_NO,BlockL2-1A0,,,,
http://id.who.int/icd/entity/408185629,http://id.who.int/icd/release/11/beta/mms/408185629,1A03.1,,- - - - Enterotoxigenic Escherichia coli infection,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-_NO,BlockL2-1A0,,,,
http://id.who.int/icd/entity/1828273122,http://id.who.int/icd/release/11/beta/mms/1828273122,1A03.2,,- - - - Enteroinvasive Escherichia coli infection,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-_NO,BlockL2-1A0,,,,
http://id.who.int/icd/entity/162723448,http://id.who.int/icd/release/11/beta/mms/162723448,1A03.3,,- - - - Enterohaemorrhagic Escherichia coli infection,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-_NO,BlockL2-1A0,,,,
,http://id.who.int/icd/release/11/beta/mms/344162786/other,1A03.Y,,- - - - Intestinal infections due to other specified Escherichia coli,category,2,True,True,01,browser,iCat,True,0,True,BlockL1-_NO,BlockL2-1A0,,,,
,http://id.who.int/icd/release/11/beta/mms/344162786/unspecified,1A03.Z,,"- - - - Intestinal infections due to Escherichia coli, unspecified",category,2,True,True,01,browser,iCat,True,0,True,BlockL1-_NO,BlockL2-1A0,,,,
http://id.who.int/icd/entity/250688797,http://id.who.int/icd/release/11/beta/mms/250688797,1A04,,- - - Intestinal infections due to Clostridioides difficile,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-_NO,BlockL2-1A0,,,,
