code,title
SK00,- - - - - Cephalalgia disorder (TM2)
SK01,- - - - - Migraine disorder (TM2)
SK0Y,- - - - - Other specified headache disorders (TM2)
SK0Z,"- - - - - Headache disorders (TM2), unspecified"
SK10,- - - - - Vertigo and giddiness disorder (TM2)
SK1Y,- - - - - Other specified nervous system disorders (TM2)
SK1Z,"- - - - - Nervous system disorders (TM2), unspecified"
SK20,- - - - - Facial palsy disorder (TM2)
SK21,- - - - - Paraplegia disorder (TM2)
SK22,- - - - - Hemiplegia disorder (TM2)
SK2Y,- - - - - Other specified paralysis disorders (TM2)
SK2Z,"- - - - - Paralysis disorders (TM2), unspecified"
SK30,- - - - - Seizure disorder (TM2)
SK31,- - - - - Epilepsy disorder (TM2)
SK3Y,- - - - - Other specified paroxysmal disorders (TM2)
SK3Z,"- - - - - Paroxysmal disorders (TM2), unspecified"
SK50,- - - - Scalp affliction disorder (TM2)
SK51,- - - - Cervicobrachial pain disorder (TM2)
SK52,- - - - Tremor disorder (TM2)
SK53,- - - - Stammering disorder (TM2)
SK54,- - - - Numbness disorder (TM2)
SK55,- - - - Weakness of thighs due to vata disorder (TM2)
SK5Y,"- - - - Other specified head, brain, nerve and movement disorders (TM2)"
SK5Z,"- - - - Head, brain, nerve and movement disorders (TM2), unspecified"
SK60,- - - - - Ocular hyperemia disorder (TM2)
SK61,- - - - - Prolapse iris disorder (TM2)
SK62,- - - - - Blepharitis disorder (TM2)
SK63,- - - - - Day blindness disorder (TM2)
SK64,- - - - - Night blindness disorder (TM2)
SK65,- - - - - Cataract disorder (TM2)
SK66,- - - - - Conjunctivitis disorder (TM2)
SK67,- - - - - Corneal disorder (TM2)
SK68,- - - - - Tear sac swelling disorder (TM2)
SK69,- - - - - Eyelid cyst disorder (TM2)
SK6A,- - - - - Dry eye disorder (TM2)
SK6B,- - - - - Ectropion disorder (TM2)
SK6C,- - - - - Pterygium disorder (TM2)
SK6D,- - - - - Lacrimation disorder (TM2)
SK6E,- - - - - Trichiasis disorder (TM2)
SK6F,- - - - - Eyelid tumour disorder (TM2)
SK6G,- - - - - Hard swelling of eyelid disorder (TM2)
SK6H,- - - - - Eyelid wart disorder (TM2)
SK6J,- - - - - Excessive blinking disorder (TM2)
SK6K,- - - - - Eyelid haematoma disorder (TM2)
SK6L,- - - - - Ptosis disorder (TM2)
SK6M,- - - - - Sticky eyelids disorder (TM2)
SK6N,- - - - - Chalazion disorder (TM2)
SK6P,- - - - - Stye disorder (TM2)
SK6Q,- - - - - Ptilosis disorder (TM2)
SK6R,- - - - - Non-inflammatory swelling of eye disorder (TM2)
SK6S,- - - - - Periorbital polyp disorder (TM2)
SK6T,- - - - - Phlyctenular nodule disorder (TM2)
SK6U,- - - - - Trachoma disorder (TM2)
SK6V,- - - - - Corneal opacity disorder (TM2)
SK6W,- - - - - Panopthalmitis disorder (TM2)
SK6X,- - - - - Phthisis bulbi disorder (TM2)
SK7Y,- - - - - Other specified eye disorders (TM2)
SK7Z,"- - - - - Eye disorders (TM2), unspecified"
SK80,- - - - - Ear abscess disorder (TM2)
SK81,- - - - - Deafness disorder (TM2)
SK82,- - - - - Otorrhoea disorder (TM2)
SK83,- - - - - Pruritus of ear disorder (TM2)
SK84,- - - - - Dysacousia disorder (TM2)
SK85,- - - - - Impacted cerumen disorder (TM2)
SK86,- - - - - Tinnitus disorder (TM2)
SK87,- - - - - Otalgia disorder (TM2)
SK88,- - - - - Otitis disorder (TM2)
SK89,- - - - - Pustules of pinna disorder (TM2)
SK8Y,- - - - - Other specified ear disorders (TM2)
SK8Z,"- - - - - Ear disorders (TM2), unspecified"
SK90,- - - - - Epistaxis disorder (TM2)
SK91,- - - - - Anosmia disorder (TM2)
SK92,- - - - - Dry nose disorder (TM2)
SK93,- - - - - Atrophic rhinitis disorder (TM2)
SK94,- - - - - Nasal polyp disorder (TM2)
SK95,- - - - - Rhinitis disorder (TM2)
SK96,- - - - - Coryza and catarrh disorder (TM2)
SK97,- - - - - Nasal obstruction disorder (TM2)
SK98,- - - - - Ozaena disorder (TM2)
SK99,- - - - - Sinusitis disorder (TM2)
SK9A,- - - - - Adenoiditis disorder (TM2)
SK9Y,- - - - - Other specified nose disorders (TM2)
SK9Z,"- - - - - Nose disorders (TM2), unspecified"
SL00,- - - - - Throat tumour disorder (TM2)
SL01,- - - - - Retropharyngeal abscess disorder (TM2)
SL02,- - - - - Hoarseness of voice disorder (TM2)
SL03,- - - - - Indistinct- abnormal voice disorder (TM2)
SL04,- - - - - Severe throat inflammation disorder (TM2)
SL05,- - - - - Pharyngitis disorder (TM2)
SL06,- - - - - Tonsillitis disorder (TM2)
SL07,- - - - - Speech disorder (TM2)
SL08,- - - - - Lymphadenopathy in throat region disorder (TM2)
SL09,- - - - - Laryngitis disorder (TM2)
SL0Y,- - - - - Other specified neck and throat disorders (TM2)
SL0Z,"- - - - - Neck and throat disorders (TM2), unspecified"
SL20,- - - - Excessive sneezing disorder (TM2)
SL21,- - - - Hypernasal speech disorder (TM2)
SL2Y,"- - - - Other specified eye, ear, nose, throat and neck disorders (TM2)"
SL2Z,"- - - - Eye, ear, nose, throat and neck disorders (TM2), unspecified"
SL40,- - - - Bronchial asthma disorder (TM2)
SL41,- - - - Cough disorder (TM2)
SL42,- - - - Dyspnoea disorder (TM2)
SL4Y,- - - - Other specified respiratory system disorders (TM2)
SL4Z,"- - - - Respiratory system disorders (TM2), unspecified"
SL60,- - - - - Slow heart disorder (TM2)
SL61,- - - - - Heart pain disorder (TM2)
SL62,- - - - - Palpitation disorder (TM2)
SL6Y,- - - - - Other specified heart disorders (TM2)
SL6Z,"- - - - - Heart disorders (TM2), unspecified"
SL70,- - - - - Varicose veins disorder (TM2)
SL71,- - - - - Varicose ulcer disorder (TM2)
SL72,- - - - - Thickened arteries disorder (TM2)
SL7Y,- - - - - Other specified circulatory disorders (TM2)
SL7Z,"- - - - - Circulatory disorders (TM2), unspecified"
SL80,- - - - - Anaemia disorder (TM2)
SL81,- - - - - Bleeding disorder disorder (TM2)
SL8Y,- - - - - Other specified blood related disorders (TM2)
SL8Z,"- - - - - Blood related disorders (TM2), unspecified"
SM00,- - - - Lymphadenopathy disorder (TM2)
SM01,- - - - Elephantiasis disorder (TM2)
SM0Y,"- - - - Other specified heart, blood and circulatory disorders (TM2)"
SM0Z,"- - - - Heart, blood and circulatory disorders (TM2), unspecified"
SM10,- - - - - Stomatitis disorder (TM2)
SM11,- - - - - Dental abscess disorder (TM2)
SM12,- - - - - Bruxism disorder (TM2)
SM13,- - - - - Pyorrhoea disorder (TM2)
SM14,- - - - - Gingivitis disorder (TM2)
SM15,- - - - - Halitosis disorder (TM2)
SM16,- - - - - Sialorrhoea disorder (TM2)
SM17,- - - - - Palatitis disorder (TM2)
SM18,- - - - - Uvulitis disorder (TM2)
SM19,- - - - - Ludwig’s angina disorder (TM2)
SM1A,- - - - - Odontalgia disorder (TM2)
SM1B,- - - - - Bleeding gum disorder (TM2)
SM1C,- - - - - Ranula disorder (TM2)
SM1D,- - - - - Parotitis disorder (TM2)
SM1E,- - - - - Dental caries disorder (TM2)
SM1F,- - - - - Dental plaque disorder (TM2)
SM1G,- - - - - Discolouration of teeth disorder (TM2)
SM1H,- - - - - Odontoseisis disorder (TM2)
SM1J,- - - - - Sensitive teeth disorder (TM2)
SM1K,- - - - - Lip chapping and bleeding disorder (TM2)
SM1L,- - - - - Itchy swollen lip diorder (TM2)
SM1M,- - - - - Dry chapped lip disorder (TM2)
SM1N,- - - - - Xerostomia disorder (TM2)
SM1P,- - - - - Ageusia disorder (TM2)
SM1Y,- - - - - Other specified oral cavity disorders (TM2)
SM1Z,"- - - - - Oral cavity disorders (TM2), unspecified"
SM30,- - - - - Haematemesis disorder (TM2)
SM31,- - - - - Abdominal distension disorder (TM2)
SM32,- - - - - Ascites disorder (TM2)
SM33,- - - - - Abdominal pain disorder (TM2)
SM34,- - - - - Constipation disorder (TM2)
SM35,- - - - - Volvulus disorder (TM2)
SM36,- - - - - Malabsorption disorder (TM2)
SM37,- - - - - Diarrhoea disorder (TM2)
