Foundation URI,Linearization URI,Code,BlockId,Title,ClassKind,DepthInKind,IsResidual,ChapterNo,BrowserLink,isLeaf,Primary tabulation,Grouping1,Grouping2,Grouping3,Grouping4,Grouping5
http://id.who.int/icd/entity/562274788,http://id.who.int/icd/release/11/mms/562274788,,BlockL1-SK0,- Module II,block,1,False,26,browser,False,,,,,,
http://id.who.int/icd/entity/1147241349,http://id.who.int/icd/release/11/mms/1147241349,,BlockL2-SK0,- - Traditional medicine disorders (TM2),block,2,False,26,browser,False,,BlockL1-SK0,,,,
http://id.who.int/icd/entity/627880448,http://id.who.int/icd/release/11/mms/627880448,,BlockL3-SK0,"- - - Head, brain, nerve and movement disorders (TM2)",block,3,False,26,browser,False,,BlockL1-SK0,BlockL2-SK0,,,
http://id.who.int/icd/entity/1896371070,http://id.who.int/icd/release/11/mms/1896371070,,BlockL4-SK0,- - - - Headache disorders (TM2),block,4,False,26,browser,False,,BlockL1-SK0,BlockL2-SK0,BlockL3-SK0,,
http://id.who.int/icd/entity/1488428775,http://id.who.int/icd/release/11/mms/1488428775,SK00,,- - - - - Cephalalgia disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK0,,
http://id.who.int/icd/entity/2096962667,http://id.who.int/icd/release/11/mms/2096962667,SK01,,- - - - - Migraine disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK0,,
,http://id.who.int/icd/release/11/mms/1896371070/other,SK0Y,,- - - - - Other specified headache disorders (TM2),category,1,True,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK0,,
,http://id.who.int/icd/release/11/mms/1896371070/unspecified,SK0Z,,"- - - - - Headache disorders (TM2), unspecified",category,1,True,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK0,,
http://id.who.int/icd/entity/2072376338,http://id.who.int/icd/release/11/mms/2072376338,,BlockL4-SK1,- - - - Nervous system disorders (TM2),block,4,False,26,browser,False,,BlockL1-SK0,BlockL2-SK0,BlockL3-SK0,,
http://id.who.int/icd/entity/691174964,http://id.who.int/icd/release/11/mms/691174964,SK10,,- - - - - Vertigo and giddiness disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK0,,
,http://id.who.int/icd/release/11/mms/2072376338/other,SK1Y,,- - - - - Other specified nervous system disorders (TM2),category,1,True,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK0,,
,http://id.who.int/icd/release/11/mms/2072376338/unspecified,SK1Z,,"- - - - - Nervous system disorders (TM2), unspecified",category,1,True,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK0,,
